9.380948401570386871e-05,5.049845472132004441e-10
9.511581931350470884e-05,5.195253244245063796e-10
9.644034586273590335e-05,5.315654340151448953e-10
9.778331698398751561e-05,5.452510492756014152e-10
9.914498952544236409e-05,5.608404797589899342e-10
1.005256239119986343e-04,5.784054309148475737e-10
1.019254841950774083e-04,5.937276632444476160e-10
1.033448381031234467e-04,6.115048745279174889e-10
1.047839570928091161e-04,6.282210201433184734e-10
1.062431164009519120e-04,6.465667026239952165e-10
1.077225950971538157e-04,6.652890112201940979e-10
1.092226761371749137e-04,6.848256262421088349e-10
1.107436464170495876e-04,7.019218150468890549e-10
1.122857968279562243e-04,7.196056223602384781e-10
1.138494223118518303e-04,7.447156145333571178e-10
1.154348219178800489e-04,7.605039820498906188e-10
1.170422988595658064e-04,7.832070650563759595e-10
1.186721605728059383e-04,8.087659028891390404e-10
1.203247187746673169e-04,8.320734003596865133e-10
1.220002895230043775e-04,8.485214785423275991e-10
1.236991932769056929e-04,8.771425880274912468e-10
1.254217549579832993e-04,8.964913771708471095e-10
1.271683040125150721e-04,9.225660726610832696e-10
1.289391744744525247e-04,9.522675805960756909e-10
1.307347050293064734e-04,9.804895487003785448e-10
1.325552390789210694e-04,1.003940554145686044e-09
1.344011248071512433e-04,1.031534986114565316e-09
1.362727152464540497e-04,1.058502871830933246e-09
1.381703683454071408e-04,1.087947486058137314e-09
1.400944470371685987e-04,1.119391832628040780e-09
1.420453193088880457e-04,1.149210098584842074e-09
1.440233582720863823e-04,1.185269926290873827e-09
1.460289422340144496e-04,1.219153570983458454e-09
1.480624547700057716e-04,1.254843615416031374e-09
1.501242847968366277e-04,1.285214037134853108e-09
1.522148266471082311e-04,1.325887483451822423e-09
1.543344801446636420e-04,1.362152953844503468e-09
1.564836506810559778e-04,1.396633407558924723e-09
1.586627492930809573e-04,1.433734764713808122e-09
1.608721927413891202e-04,1.478693043629778632e-09
1.631124035901932270e-04,1.523456019064629833e-09
1.653838102880846614e-04,1.564780969194972553e-09
1.676868472499760216e-04,1.612127779017646643e-09
1.700219549401847522e-04,1.651503263625202352e-09
1.723895799566731862e-04,1.701429085236875105e-09
